Nombre del Pedido: P-011, URN: dXJuOmFkc2sub2JqZWN0czpvcy5vYmplY3Q6cDJfcHJveWVjdG9zL1RvcnJlJTIwMDElMjBSMjQucnZ0

"EJE/VIGA/LOSA";"ELEM CONST";"PISO";"CICLO";"Cantidad";"Ã˜ mm";"Figura";"L/m";"Uso";"A/cm";"B/cm";"C/cm";"D/cm";"E/cm";"F/cm";"G/cm";"H/cm";"I/cm";"J/cm";"AngV";"AngV2";"AngV3";"R/cm";"Peso Kg";"Id"
"EJE 8";"11";"11";"";0;10;"1.0.0";59.5;"MV";"";"350";"";"";"";"";"";"";;"";"";"";"";"";0.6169977098397517;8418
"EJE 8";"11";"11";"";0;10;"1.0.0";59.5;"MV";"";"350";"";"";"";"";"";"";;"";"";"";"";"";0.6169977098397517;8419
"EJE 8";"11";"11";"";0;16;"1.0.0";6.3;"CB";"";"315";"";"";"";"";"";"";;"";"";"";"";"";1.5799941354081162;8420
"EJE 8";"11";"11";"";0;16;"1.0.0";6.3;"CB";"";"315";"";"";"";"";"";"";;"";"";"";"";"";1.5799941354081162;8421
"EJE 8";"11";"11";"";0;16;"1.0.0";6.3;"CB";"";"315";"";"";"";"";"";"";;"";"";"";"";"";1.5799941354081162;8422
"EJE 8";"11";"11";"";0;16;"1.0.0";6.3;"CB";"";"315";"";"";"";"";"";"";;"";"";"";"";"";1.5799941354081162;8423
"EJE 8";"11";"11";"";0;10;"1.0.0";59.5;"MV";"";"350";"";"";"";"";"";"";;"";"";"";"";"";0.6169977098397517;8424
"EJE 8";"11";"11";"";0;10;"1.0.0";59.5;"MV";"";"350";"";"";"";"";"";"";;"";"";"";"";"";0.6169977098397517;8425
"EJE 10";"11";"11";"";0;10;"2.3.3";51.6;"MH";"9";"16.999999999997414";"397.0000000000004";"";"";"";"9";"";;"";"";"";"";"";0.6169977098397517;8688
"EJE 10";"11";"11";"";0;10;"2.3.3";51.6;"MH";"9";"17";"397.0000000000004";"";"";"";"9";"";;"";"";"";"";"";0.6169977098397517;8689
"EJE 10";"11";"11";"";0;10;"1.0.0";59.5;"MV";"";"350";"";"";"";"";"";"";;"";"";"";"";"";0.6169977098397517;8690
"EJE 10";"11";"11";"";0;10;"1.0.0";59.5;"MV";"";"350";"";"";"";"";"";"";;"";"";"";"";"";0.6169977098397517;8691
"EJE 10";"11";"11";"";0;16;"1.0.0";6.3;"CB";"";"315";"";"";"";"";"";"";;"";"";"";"";"";1.5799941354081162;8692
"EJE 10";"11";"11";"";0;16;"1.0.0";6.3;"CB";"";"315";"";"";"";"";"";"";;"";"";"";"";"";1.5799941354081162;8693
"EJE 10";"11";"11";"";0;16;"1.0.0";6.3;"CB";"";"315";"";"";"";"";"";"";;"";"";"";"";"";1.5799941354081162;8694
"EJE 10";"11";"11";"";0;16;"1.0.0";6.3;"CB";"";"315";"";"";"";"";"";"";;"";"";"";"";"";1.5799941354081162;8695
"EJE 10";"11";"11";"";0;10;"1.0.0";59.5;"MV";"";"350";"";"";"";"";"";"";;"";"";"";"";"";0.6169977098397517;8696
"EJE 10";"11";"11";"";0;10;"1.0.0";59.5;"MV";"";"350";"";"";"";"";"";"";;"";"";"";"";"";0.6169977098397517;8697
"EJE  8 - 10";"11";"11";"";0;10;"1.0.0";101.1;"Losa: Inferior";"";"337.0000000000005";"";"";"";"";"";"";;"";"";"";"";"";0.6169977098397517;8948
"EJE  8 - 10";"11";"11";"";0;8;"1.0.0";119.2;"Losa: Inferior";"";"595.3999999999943";"";"";"";"";"";"";;"";"";"";"";"";0.39499853385202904;8949
"EJE  8 - 10";"11";"11";"";0;10;"5.0.0";164.7;"Losa: Inferior";"";"69.99999999999979";"11.000000000000053";"397.0000000000009";"11.000000000000055";"69.99999999999977";"";"";;"";"";"";"";"";0.6169977098397517;8950
"EJE  8 - 10";"11";"11";"";0;12;"1.0.0";158.8;"Losa: Superior Principal";"";"397.0000000000002";"";"";"";"";"";"";;"";"";"";"";"";0.8879967039508906;8951
"EJE  8 - 10";"11";"11";"";0;12;"1.0.0";154.83;"Losa: Superior Principal";"";"397.0000000000003";"";"";"";"";"";"";;"";"";"";"";"";0.8879967039508906;8952
"EJE  8 - 10";"11";"11";"";0;12;"3.0.0";162.5;"Losa: Superior Principal";"";"595";"9.799999999999995";"25.599999999999927";"";"";"";"";;"";"";"";"";"";0.8879967039508906;9034